"Sample","MEyellow","MEturquoise","MEgreen","MEred","MEgreenyellow","MEpink","MEmagenta","MEblack","MEpurple","MEblue","MEbrown","MEgrey"
"11",0.00388617824605802,-0.0866625139658447,0.0267670064821917,0.0063247718847256,-0.0552992873110808,-0.0165010137479821,-0.0449735495914603,0.159025573138153,0.273377597413489,0.039850160135644,-0.0288229939298915,0.15074813901059
"12",-0.00791992786394207,0.162233887776801,0.0407739910413705,0.0546134627725663,0.0250620259316861,0.148330766994138,-0.0671714340612072,-0.138387011798643,-0.0662207381496062,-0.154363981191361,-0.104293141860519,-0.0736107183020434
"13",-0.0510180138426646,-0.091773301908641,-0.0671204732605729,-0.0689885932266984,-0.0398336555363732,0.0307975024034349,-0.0261483670363369,0.180275679619058,0.0164854819172126,0.161632773510036,0.013683493813967,0.123685337817698
"14",0.125734109486781,0.152512636716846,0.0681744817560128,0.0633519922194135,-0.0159888554076842,0.0616699857408451,-0.0332894735398514,-0.0914616275587673,-0.00976749282232079,-0.134442888288813,-0.113274026329766,-0.0148182529151779
"15",-0.101996163702303,-0.0970679932268784,-0.0857929345614558,0.0653273547192347,-0.0363743963174352,-0.173391515679224,-0.0425862941498777,0.182361933983691,-0.0712169247994455,0.147241311613804,-0.0141374583911246,0.0989745039393822
"16",0.267806586815422,0.121100627709651,-0.0148871462663268,0.0557498735873419,-0.0247735670004766,-0.0518805569628749,-0.031324500409149,-0.0860951936898187,-0.13480236272528,-0.136713113321035,-0.108033370159063,-0.0110932323802984
"17",-0.176633119612762,-0.0766272278519464,-0.008472365038446,-0.126730955321671,0.138157404670212,0.221004731842642,0.0860045325657738,-0.0330661647280589,0.197984530935448,0.0896052423156931,0.221442727829351,-0.179369980430266
"18",-0.118687036848473,0.160175196469169,0.0392524339100986,0.091196350369797,0.00214887179067311,0.101489032066618,-0.0608405925254398,-0.0871900313776353,-0.154812921838865,-0.142884773594688,-0.128190203627955,-0.00889160252771932
"19",0.0476272727137408,-0.0142677332444678,-0.010684022635828,-0.0282172345962777,0.0102487473197794,0.048166294824756,0.616074590718892,-0.0177826832280054,0.129066591903692,0.0813993351577195,0.0458284072552005,0.000893069309982336
"20",0.0565817612484976,0.113148547057782,0.0507822522187474,0.0974037286376457,-0.0328853959955718,0.0672119691865184,-0.0133122549731137,-0.0650837771822014,-0.067916584288826,-0.0927877957409668,-0.0632819225777808,-0.0100737512899442
"21",0.0529582285551001,-0.202786123061803,-0.299495476224917,-0.193739510716296,-0.0684413796137099,-0.326599143300334,0.178290459019597,0.253800894367652,-0.0238962659803756,0.2320641333241,-0.0313738036918111,0.277176072786828
"22",0.170978267701566,0.154212462061629,0.0337636631317917,0.0666360833929892,-0.0393022414462114,0.0124118009915821,-0.0237060858282029,-0.112058042040498,-0.128607788252595,-0.142865974413913,-0.115669277491489,-0.0152668956106563
"23",-0.157079610152253,-0.155437301253933,-0.0470059847826448,-0.0760543265371868,-0.0659147338514699,-0.101484877553968,-0.0772748751196514,0.253500004858107,0.0891110152885065,0.162611952604677,0.0277170322898857,0.192183590321895
"24",0.217231999339129,0.145449889192968,0.0676006964284785,0.0524055201061308,-0.0339527684967436,-0.00981029240595102,-0.0164854698419745,-0.131830742282959,-0.0624824810820826,-0.137867679990549,-0.113250892206962,-0.0503692822624678
"25",-0.181005197166937,-0.084400945654406,0.103058550008248,0.0955003446952879,-0.0603913714079635,-0.00823820825196517,-0.0431489187947618,0.140326379735948,0.120752046546764,0.103057080539652,0.0566182691095374,0.103159937511416
"26",-0.0468313911488543,0.12639440008061,0.18350372206358,0.0802539397724051,-0.0611281195715951,0.000433894740055815,-0.0592692369599067,-0.125672018267346,-0.0420671321395798,-0.1721878424019,-0.0640471718985475,-0.0238640682126515
"27",-0.0174370222557738,-0.0783145735230659,0.122823084405782,-0.0894087133911256,0.0169922081268447,0.154717284008369,0.0407741654939961,-0.0613805642173527,0.29586362030258,0.0758639708899656,0.173209645025546,-0.138580841644595
"28",0.277621849214956,0.101677477146062,0.150904582126475,0.0117625105293263,-0.0335747160908423,0.0100176989533817,-0.0156157541766748,-0.0907325205886796,0.175061254697027,-0.124402431344631,-0.0684301352623903,-0.0116244708986766
"29",-0.012954403433548,-0.170152557979859,-0.0884472150338365,-0.22333264164901,0.944990233137248,0.132012084815915,0.0297926141131781,-0.24837472536433,0.119349200713639,0.0518491133959856,0.282710165509159,-0.247844786137198
"30",0.192284447228835,0.124495157074976,0.072096497631613,0.0690248485292295,0.0022643839811948,0.0630286955690184,-0.0216313183037135,-0.0918386980868322,-0.0909864422053445,-0.107632051340468,-0.071766309843163,-0.00958960171369637
"31",-0.102327486342722,-0.164791425414398,-0.0359548996305493,-0.0563372108132346,-0.0620844859364582,-0.0536572690438246,-0.0316497298766888,0.152928338315951,0.193589452647208,0.159428368122872,0.0989356478075718,0.0328939647848871
"32",-0.197859455433022,0.13073679185661,0.200032539922868,0.182982013096008,-0.045836433396802,0.0371665002369549,-0.0555297239224861,-0.117389435326688,0.0120703885224034,-0.156256967044882,-0.0805884736398674,-0.0550350819125012
"33",-0.0903093727078401,-0.112570426837363,-0.108601427872602,-0.173389816690922,0.0383597973611514,0.133624226609318,-0.00509324500191766,-0.0358005251752772,-0.0558375496806456,0.111397197486492,0.278540494004088,-0.166371795192934
"34",0.135788062445836,0.127842305987349,-0.0360285543114861,-0.0113942915218038,-0.0472326224485676,-0.05979343206421,-0.064289459115167,-0.0813552528154974,-0.158913881432185,-0.157156334716797,-0.15115176665336,0.00289952761903923
"35",-0.0199531436315354,-0.0815187369390011,-0.096949355413624,-0.172716822400835,-0.0108060354277424,0.0718505559912713,0.682935034079754,-0.0367760876634215,0.0481665843312293,0.128465317731776,0.0943411737373477,0.0271380132856598
"36",-0.0264266064188944,0.174089162164375,-0.0323946531418682,0.0208387556011324,-0.00342083633577262,0.126223874197789,-0.0377536480886479,-0.107055911474566,-0.164019899526079,-0.144756048060678,-0.10684435539069,-0.0105349239316583
"37",-0.198957999292872,-0.155175719952874,0.0386150934204705,0.0302782420784615,-0.0417876986895648,0.105550618067734,0.0265676101754151,-0.0373662026123408,-0.0348820088449992,0.150633449416413,0.248371810574304,-0.218575693346037
"38",-0.0613655777907889,0.118615692175972,0.140434194958267,0.110778363673788,-0.0292910012537006,-0.00893418825119631,-0.0762730771001592,-0.0944418703112548,-0.027346483478801,-0.157251178449825,-0.108192731821649,-0.0191139372133123
"39",-0.166152689168446,-0.192006158345581,0.0862474503124078,-0.147063135129794,0.0679061457117818,0.162899160628153,0.133645300828908,-0.0997655195822823,0.234890696749886,0.150730824169034,0.294280226773027,-0.279382478669653
"40",0.220114290387841,0.101765854124624,0.173175890473811,0.0951455996478656,-0.039442268953951,-0.00904835311351832,-0.0296120847969731,-0.126903020577729,-0.00529796663875698,-0.140718406438287,-0.0861784096980292,-0.0556635083292506
"41",0.0877511396246101,-0.0219655147286673,0.0415871732639259,-0.0389873454717631,0.00732193265340291,0.030757385904227,-0.0175582581643362,0.107786203689394,0.0393093621012412,0.0656160847992267,0.0290633463740141,0.0353043071752027
"42",0.0518505771159404,0.158013381933512,0.0441101840152359,0.00704420203748517,-0.00591429999836499,0.0622210092895871,-0.0474285290225301,-0.118892894687239,-0.142336208340039,-0.154773943087058,-0.0956898001929557,-0.0204609401504731
"43",-0.192494062506851,-0.116652507606894,0.152753736052387,-0.0191336667934569,0.00936330061368188,0.254421943616091,-0.000956211953829328,-0.124712875655367,0.266318365062464,0.0997315461728762,0.25525127561195,-0.277672280699843
"44",0.0233742088657874,0.178424779286808,-0.00695355513788617,0.0147886472366414,-0.0202842973388738,0.107935603246774,-0.047571838991283,-0.134103357887352,-0.17889702410193,-0.150909505901777,-0.105981682491692,-0.0335761195541003
"45",-0.253147065183917,-0.353342162795393,-0.482073293659306,-0.598362404434313,0.0658953764378274,0.0269014102692955,-0.00560139730084682,-0.108290949356621,-0.160183960542695,0.192517462848936,0.377928711977213,-0.296916948228478
"46",0.291599512724593,0.061910215915009,-0.0709556106392166,0.0742039284026528,-0.0242010721612009,-0.156316940266066,-0.00872264384774681,-0.0249873622226058,-0.101994151891027,-0.0693916703518999,-0.104891944253275,0.0488484828929883
