"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1orf158",225.189434459417,-1.49252691844554,0.335493369635871,-4.44875235556954,8.63705297327721e-06,2.90161973829218e-05
"ELOF1",3266.80702225785,0.183879928861967,0.108516117996269,1.69449416600296,0.0901714193597903,0.131524082961844
"RPL34",38562.5688829738,0.311853698968534,0.140466776579528,2.22012426398901,0.0264103335486776,0.0442416255366037
"HGC6.3",41.4154416273781,1.65126146335634,0.453542585947933,3.64080797375421,0.000271783791446551,0.000694417536312753
"BAHCC1",5009.00086037969,0.134767605628588,0.114748994910961,1.1744556519485,0.240212565364447,0.30984849194123
"NKX6-2",1.30315520005738,-2.30574779296608,1.02556452432093,-2.2482717940081,0.0245588641375679,0.041448842575545
"CREBBP",19614.1263567204,0.118858451302081,0.0905660703702049,1.31239492688847,0.189386917707288,0.252328896874225
"TMED4",7155.63058091856,0.698549376819376,0.077315234956296,9.03508056612963,1.63881665913527e-19,4.09017114643119e-18
"TRIO",15082.0487181615,0.296992398336865,0.127310742403397,2.33281491200337,0.0196578616799032,0.0339153407997716
"LOC100188947",102.210480497396,-0.0604305328436664,0.106351938876033,-0.56821279877282,0.569890481854017,0.642233352441799
"SPAG7",4068.22000201282,-0.0850058584373009,0.114970626676954,-0.739370227807416,0.459682215629844,0.537952574385041
"C17orf73",5.42900276856838,0.66039983719005,0.345054382701293,1.91390073651592,0.0556328402846061,0.0860057679300252
"EXPH5",7278.8333389177,0.137995908635812,0.124443255807345,1.10890628616668,0.267470611735162,0.33978991101057
"DCC",854.476571529393,-1.63179568810063,0.29625423106925,-5.50809243200039,3.62742937910045e-08,1.86068925652236e-07
"ATXN7L1",1415.59141377101,-0.336764722802754,0.0854233122656671,-3.94230466919163,8.07023694116219e-05,0.000226906050737691
"DCP2",5991.1264280708,-0.0575449732119939,0.099063821533805,-0.580887879359237,0.561316021793579,0.634513436676188
"PDE6G",165.744613226006,0.0561266306860338,0.176538127296986,0.317929228917294,0.750538620553648,0.801289742002552
"LOC100507567",289.300668716941,-0.160518812740022,0.126765499637324,-1.26626576788848,0.205417948319596,0.270500598005136
"OR7E24",5.35809680582504,0.616942264695298,0.317486520945984,1.94320773951932,0.0519910633491647,0.0809127412925145
"SLMO2-ATP5E",8819.92930917881,0.397708446402281,0.0955503406712913,4.16229229124847,3.1506869245426e-05,9.54972357587105e-05
"MRPL50",1985.08687440509,0.180480112750515,0.0718656006586854,2.51135607434324,0.0120268317019664,0.0218092725747628
"C18orf1",4434.04111328531,0.190098165188199,0.134243395673168,1.41607089298469,0.156754749156125,0.21412288282286
"SNORD9",4.24525024566874,-0.154958131653657,0.354504279660269,-0.437112160682962,0.662030008506241,0.725469622769467
"SNORD12B",18.8837305004102,0.679567687682778,0.241849627539286,2.80987692475312,0.00495604482449709,0.00980503404287417
"MDS2",40.6376799662132,0.0678865311901464,0.124641245455315,0.544655430408745,0.585990523764142,0.656793520765823
"TAS2R31",20.4341422534848,-0.200386232043679,0.183542372734237,-1.09177095761877,0.274933787380234,0.347808424397707
"SPATA8",1.87292733893601,1.17483145427123,0.682853085010877,1.72047469662162,0.0853461893184588,0.12535318322291
"DSP",22289.4161720648,1.52177298387683,0.288037563729205,5.28324488019734,1.26915561606662e-07,5.94102192988075e-07
"ESRRG",377.955861111507,0.596077652811331,0.24671877683058,2.41602062262433,0.015691172611322,0.0277360077570315
"ARPC5L",3939.4076570305,0.41850548175638,0.0962052792526715,4.35013010728056,1.36056780579225e-05,4.40205450080578e-05
"BCAT1",17360.4979122295,2.14893161659089,0.339461457604182,6.33041415587329,2.445040201129e-10,1.79702464455527e-09
"CCPG1",18298.9311375458,0.210849807967007,0.0954841779114418,2.20821724163099,0.0272291330615052,0.0454402574241839
"FAM70B",566.694599965531,-0.868458907149408,0.152569826519417,-5.69220616527922,1.25408296785139e-08,6.94117947833743e-08
"IGSF6",3599.24756485144,-0.150322485716606,0.17959197572434,-0.837022284043134,0.402580042299174,0.481910381227605
"DSCR8",4.25517197641846,3.61026180931263,1.20235885467684,3.00264916357519,0.00267640777013062,0.0055917805197372
"MAGI3",9915.81007598377,-0.555513590744198,0.131387479402891,-4.22805577265664,2.35719368286829e-05,7.32202395368494e-05
"RPL5",68104.2420673074,0.125549940783654,0.087006400767669,1.44299660342125,0.149021428045812,0.204761572539222
"PPIB",16245.8679665659,0.637931525820738,0.0942654465516669,6.7673951501528,1.31121607093373e-11,1.1874865544416e-10
"C5orf49",980.76900918632,-0.6945498928516,0.29430669507129,-2.3599527448173,0.0182772631012185,0.0317990443898713
"TARP",754.440218667246,-0.984870116175116,0.168221362944793,-5.85460787461539,4.78136781794447e-09,2.81745752556082e-08
"PTPRD",2864.31931707022,-1.28383388778041,0.19459801577101,-6.5973637125424,4.18533125090298e-11,3.50352728906233e-10
"FCN3",10937.0279466723,-2.99364738503372,0.289975855809089,-10.3237815323654,5.50128241015111e-25,2.58356049336122e-23
"C11orf65",52.8928198643011,0.227492811312234,0.147883488317542,1.5383246223118,0.123969262327268,0.174193810396822
"CCS",2349.7905801995,0.43076892437211,0.0917776100376578,4.6936167132197,2.68416734757221e-06,9.91789545129776e-06
"RNASEK",4148.41174651815,-0.163541617353685,0.0805606453040282,-2.03004353721962,0.0423521140181796,0.0674733679529298
"MED10",2181.41692195791,0.0669967221774586,0.0998757876993022,0.670800438432254,0.502347668134117,0.579737678927115
"RPS2P32",86.0002785538022,1.18375086510439,0.19275096113302,6.14134870273084,8.18237385052826e-10,5.50413523125764e-09
"ZNF445",5287.51318304331,-0.0722505297751793,0.0714174831087615,-1.01166446408016,0.311698511938464,0.387179477149214
"TNS1",108971.402567924,-1.30174655648123,0.126574327865567,-10.2844437606952,8.28188830561046e-25,3.79261767406926e-23
"TSTD1",3554.2564901607,0.764412938670766,0.177469587026519,4.30728978118679,1.65267037285941e-05,5.27742211591001e-05
"C16orf79",152.602123659425,0.106086444513447,0.138275909698207,0.767208436704447,0.442957597579977,0.521819621267391
"NME1",3800.3762785749,1.6200258829427,0.171041753726722,9.47152287464884,2.75793124326503e-21,8.53567068729779e-20
"IFI30",42392.8767819241,-0.537268443237842,0.156356673515323,-3.43617212593865,0.00058999600216725,0.00141159681795122
"YJEFN3",64.5811840029869,-0.0785146979045838,0.148375153861704,-0.529163379859172,0.596692117738224,0.666205811414827
"CHMP2A",7736.26244943138,0.0575035955343046,0.074941839479863,0.767309635490812,0.442897440917703,0.521779122380259
"HUS1B",14.5424309439061,0.0753656528270948,0.267973969162411,0.281242439564784,0.778524455648744,0.825071659921482
"AKAP17A",5052.63751016769,0.278054021546523,0.0781614755057045,3.55743055958852,0.000374500055166785,0.000929066750414376
"SGCD",3260.12425145754,-0.988596021442827,0.222943586538383,-4.43428778011799,9.23771641841558e-06,3.07888387988062e-05
"FLJ45340",6948.13163262802,-0.092942108496159,0.0985785396776669,-0.942822938948599,0.345771476472723,0.422655984980035
"CALCB",2.3056828084145,0.520384528404857,0.614322780652825,0.847086490674914,0.396946914454315,0.475927170682963
"TAS2R43",7.67727958890312,0.00941198846309853,0.284450913602665,0.0330882694096235,0.973604197284069,0.980141378555001
"ZMAT5",1074.29345414733,0.158229072681052,0.094637374122591,1.67195121534211,0.0945339423525259,0.137155868909575
"TFDP2",8414.65416466153,-0.20951455584301,0.086487321192266,-2.42248867180483,0.0154146063579076,0.0273043709889216
"MAP1A",3344.66043269316,-0.217273771167777,0.171335627530799,-1.26811787074886,0.204755860546907,0.269839401870561
"B9D2",682.008664050836,0.0592359268982741,0.137875887584055,0.429632243434599,0.6674631784668,0.730355832811466
"C21orf37",1.56957408754042,1.47948497377551,0.811171888560955,1.82388590462642,0.0681693230544165,0.102925202740895
"NCRNA00257",42.997967969186,0.773596330119654,0.209511443940938,3.69238221821303,0.000222163238755517,0.000576513604570566
"CENPF",2821.9666511006,1.95326591572699,0.296919321721888,6.57843990886028,4.75409929582968e-11,3.94537613148374e-10
"FAM132A",51.1074938790768,0.509879815758656,0.280983297609263,1.81462677709655,0.0695812846017815,0.104822475560037
"TNFRSF12A",6419.15587485457,0.985626228386855,0.186299325305978,5.29055178685196,1.21947885312854e-07,5.73101264596583e-07
