"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CEACAM7",295.884163009391,5.39322572109071,0.446021708090694,6.43102006351576e-35,8.81219412396935e-33
"LEMD1",214.478756394354,4.23608599926756,0.350274877314501,6.44338091175072e-35,8.81219412396935e-33
"TTLL7",1105.78198834893,-2.072126294749,0.170836438277482,7.09921465396308e-35,9.64397341012528e-33
"COX4I2",1123.75797040045,-1.88290039405243,0.155792843917428,1.23701908022971e-34,1.66923354686198e-32
"CAV2",29948.9872242793,-1.86552210737717,0.154705190222074,1.42464929486804e-34,1.90824305277677e-32
"CLDN5",10519.2204294549,-2.0764443972782,0.172060227027379,1.43299710499515e-34,1.90824305277677e-32
"MYL9",36038.7640709135,-1.4288084535285,0.118075282549059,1.67876176092749e-34,2.22090305901525e-32
"GIMAP6",11236.6553571397,-1.82478792728043,0.151360741585199,1.90894836760179e-34,2.50902752653428e-32
"SPTBN1",160774.954027178,-1.46197950777725,0.121021424370535,2.1242951185653e-34,2.77405532225034e-32
"WNT9A",461.957218930638,-1.58682908823961,0.131617434097358,2.35948026826226e-34,3.06142564807029e-32
"EDNRB",18254.9800673842,-2.71187341183046,0.226198605414563,3.02208137941929e-34,3.89617510833286e-32
"C1orf170",112.326877631393,2.69312163466558,0.224544248780285,3.04933949710321e-34,3.90643549119406e-32
"HEG1",35068.0670185105,-1.95478403610917,0.162766775280381,3.30946332129106e-34,4.2130092507077e-32
"NRG3",206.515133239826,-1.55569995752924,0.229997880651542,3.47262624774716e-34,4.39308924254064e-32
"KIF26B",1860.57449385032,2.92090102287793,0.244145776941621,4.18278001873642e-34,5.25861182355552e-32
"ZNF833P",112.517225291065,-1.55718671530938,0.129913382566807,6.04861736130722e-34,7.53999032262138e-32
"PPM1F",9105.65789567101,-1.37317289001348,0.114438667302077,6.07192541172513e-34,7.53999032262138e-32
"CFL2",5957.93828209188,-1.23704810383593,0.103078463011028,6.70801265064745e-34,8.27907829644848e-32
"TUBB3",1473.88554029767,4.32493175813149,0.364086090458688,9.13880836143783e-34,1.12108254572038e-31
"GPER",934.111931871668,-2.11680205090587,0.177676349599021,9.4614857774107e-34,1.1536742989191e-31
"TBX3",5473.59091827381,-1.92189054463253,0.161473561277417,1.02272644488966e-33,1.23958119586896e-31
"GDF15",10158.6283161686,3.32665429341144,0.280716244509859,1.43124426852495e-33,1.7243937642389e-31
"C8orf73",2157.25343755392,2.65446858703904,0.223895905738124,1.5376493660654e-33,1.84163081766448e-31
"EGF",732.637334086084,2.79753454340536,0.23641920507336,1.72136026752116e-33,2.04953253969976e-31
"KL",1912.22808835664,-2.15114892075851,0.181391119747428,1.77297419774603e-33,2.09864156354253e-31
"ABP1",1133.61014589464,4.56499600255808,0.387499715277847,2.93140398814414e-33,3.44968303046661e-31
"CALCRL",27407.3341990558,-2.4056338508434,0.205217846161017,3.3463728464367e-33,3.91525623033094e-31
"FUT3",1576.12729596304,2.69180770730589,0.228321759487782,4.33387989839996e-33,5.04149787491457e-31
"NOTCH4",8118.46451147522,-1.90888145752021,0.162193413225369,4.46104461907626e-33,5.15977166484129e-31
"SERTM1",1074.55583072377,-3.35676441679009,0.285697066806718,4.68593882378657e-33,5.38909589387864e-31
"GIMAP7",5360.49540211689,-1.69316802511995,0.144195828475355,5.59851592133041e-33,6.36626745863196e-31
"PVT1",420.808340198678,2.03680475214493,0.172874741113205,5.57997081451411e-33,6.36626745863196e-31
"TEK",11357.3414536711,-2.54538114785775,0.216800857436084,6.04291610287298e-33,6.83322149934369e-31
"ERG",6986.04508485457,-1.6888556659263,0.143467004089396,6.19486065131973e-33,6.96612080240903e-31
"MAP7D2",548.347517540518,3.44196045962293,0.29363286037344,6.27159839284911e-33,7.01344878837895e-31
"LOC145837",600.833157048135,4.33154208419084,0.370277684991037,7.67461910617851e-33,8.53527282022853e-31
"IL37",190.9341280229,6.14527348949479,0.525545200136941,7.85069122304691e-33,8.68337929211435e-31
"GIMAP1-GIMAP5",7232.8779695175,-1.62185838017798,0.138766031194828,9.87577228735786e-33,1.08638862428484e-30
"COL22A1",338.813796749648,3.43935882580277,0.29432360997105,1.02739991553207e-32,1.12408657785322e-30
"ARHGEF10",6924.32936264994,-1.59484597816348,0.13547226696861,1.22912835038643e-32,1.33756919033181e-30
"LDB2",8572.83042655785,-2.0821868522752,0.178129859233545,1.36407662078033e-32,1.47648528776549e-30
"ANGPTL7",299.481892589356,-2.49934601680571,0.214148223820938,1.39501915977317e-32,1.49732304047786e-30
"THSD1",1989.18087146215,-2.17026610796136,0.185784675497278,1.39812289239818e-32,1.49732304047786e-30
"HYAL2",14058.9327407282,-1.27263100007651,0.106931996354005,1.43485934141164e-32,1.52857831207964e-30
"NRN1",2068.02947688763,-1.79836835403233,0.153836589673063,1.57192514708541e-32,1.66582915718093e-30
"SLC39A11",4841.26522742501,1.23574995625796,0.105589130625773,2.110400872425e-32,2.22482416972679e-30
"CRYAB",2886.38388719418,-1.7175879621255,0.14731164214815,2.28620715064319e-32,2.39767455627818e-30
"LOC100190938",637.371034682212,-1.48852522495166,0.127421936349488,2.35804830267831e-32,2.46027091208823e-30
"C10orf25",487.365056245954,-1.25934305458637,0.107717601841576,2.70761979781905e-32,2.81050935013618e-30
"FGF11",470.507497520852,3.1506781854507,0.271622900964888,2.82488978241092e-32,2.91727520845813e-30
"CTNNAL1",9088.21371396146,-1.54731036518355,0.133038435108643,2.85875300203894e-32,2.93725987382082e-30
"PAICS",7538.66849994779,1.25487119601367,0.10665878209851,3.07685824294911e-32,3.14538826745116e-30
"FERMT1",1672.39860100874,2.72564335707657,0.23507457836532,3.15105156927037e-32,3.20504697555786e-30
"RNF144B",10437.1070184225,-1.19018634452019,0.101955363223598,3.85526267936075e-32,3.90171859464704e-30
"ZNF774",215.677795712556,1.26171761227383,0.108256743657941,4.33497561894675e-32,4.36538514940802e-30
"SH2D1B",380.80711521765,-2.5253720135736,0.218497280634054,5.05981647874738e-32,5.07008640328345e-30
"LOC285758",281.026451271071,-1.93338118349335,0.166838171024647,5.28582890080032e-32,5.27046614685218e-30
"CLDN2",8580.16207974979,5.60217453276487,0.486010056574403,5.56146724365291e-32,5.51812051366561e-30
"BARX1",163.452580701078,7.43076613607984,0.64389320841752,5.82139842688582e-32,5.724293975214e-30
"LOC728192",86.8702153728138,4.63400024693081,0.402606420550298,5.82582164366426e-32,5.724293975214e-30
"SMAD6",6455.44569414245,-2.09030464954567,0.180823022743891,6.27847807633325e-32,6.13925964942325e-30
"RS1",269.638259795364,-2.47940561374708,0.215053428756218,6.83270495714251e-32,6.6490760114193e-30
"SEMA3G",5907.72048000877,-2.68197888429247,0.232779561805403,7.9538927458531e-32,7.70309775448864e-30
"GPM6A",4087.30662949534,-2.80077232188665,0.243235808155042,8.05030447117268e-32,7.75934346671458e-30
"WWC2",15799.7087798146,-1.564470827496,0.135292289969332,8.15918515130087e-32,7.82701737665786e-30
"GOLM1",13672.098093035,2.17302538774559,0.1873922886767,8.50370915306987e-32,8.11903664940034e-30
"MICALL2",2972.91778573616,1.34594941298474,0.116120618743665,8.60364735013371e-32,8.17588854526087e-30
"FOXA3",459.436062286204,3.76246660683268,0.327389545956085,9.11628908190913e-32,8.62256108910854e-30
"ADCY4",2407.81301198911,-1.85611748005804,0.159842784638351,9.16277431895947e-32,8.62621930186319e-30
"GYG2",826.476317370547,2.42729359129569,0.210760749084896,9.9579895068438e-32,9.33146600037155e-30
"PAK6",1382.27132331932,1.48001354780542,0.128299496957272,1.15754629722055e-31,1.07971864525535e-29
"C6orf222",145.782649713523,6.05454499338877,0.529806464324227,1.63747823015369e-31,1.52037600259362e-29
"HMGB3",8445.90872736892,2.72615417476351,0.23804619217476,1.7669661745131e-31,1.63311243553971e-29
"ARHGEF16",2236.14446069417,1.78006921226892,0.155371134302691,2.11610579207589e-31,1.94046836813698e-29
"TMEM47",8259.98774218506,-1.62798460517952,0.142267180227745,2.11868736405451e-31,1.94046836813698e-29
"ATP10B",942.084242464138,5.07477099670848,0.445144471726638,2.33650413162758e-31,2.13032342920152e-29
"SYNM",6198.14813199254,-1.80411729766053,0.157943794926812,2.69172759594162e-31,2.44319543809213e-29
"DNAJC12",654.799561839166,3.40686584062979,0.298955732558908,2.75711090639969e-31,2.49136972573376e-29
"LYVE1",5049.01739652489,-2.77716220550985,0.242942899749608,3.38968572629709e-31,3.04936127937687e-29
"FRMD5",255.789045809775,3.89427981222138,0.342142401097897,3.52871691547761e-31,3.16038757018506e-29
"GFRA3",1750.85852992058,4.64276409909466,0.40741349285792,3.70966740597507e-31,3.30781400723971e-29
