"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FRG1",2151.62284839251,-0.203814825830984,0.0729450672329818,0.00479791545683438,0.00951078315167806
"MON2",7391.91959576366,-0.0610373335497132,0.0842722006669285,0.504245644824527,0.581530174741796
"PARK7",14518.086383231,0.441238760364336,0.0933270551822556,9.34693821774264e-07,3.73453171072501e-06
"PRKCDBP",2904.86884865155,-0.665439718204679,0.0959674100988988,2.02969705807026e-12,2.08543645443655e-11
"GPRC5D",109.669906005379,-0.0794810802173766,0.179113867376242,0.642150351032568,0.707476880864915
"OR2C1",9.15144824184225,-0.17479187851152,0.221847829990828,0.398783305227541,0.47778932645381
"MRPS26",2936.56787659589,0.743582720697731,0.128853926458217,4.11643429302629e-09,2.4563899329347e-08
"MTRNR2L2",66029.0260442725,0.219929185587095,0.134926340941798,0.106907080033174,0.152839822499752
"LOC100507299",88.1811298322138,0.471160835556534,0.114349653772393,2.64688225249051e-05,8.13105838103816e-05
"PRRC2C",31664.08010413,0.287628514822392,0.113279011251518,0.0106739304245378,0.019573385189624
"RAPH1",13729.3361624463,0.0970649531069646,0.124935901027297,0.482089156811175,0.559998084534576
"CHD6",10566.5170801432,-0.0884553211960971,0.107688672335153,0.442801429680094,0.521710849168634
"OR52N4",31.4436146497717,-0.180945318325922,0.277569070184973,0.46488376220612,0.543035101039593
"OR10Q1",0.904969061583815,-0.899860477212584,1.09941491675823,0.0532429744429164,0.0826576964027512
"LOC554206",100.469945199827,-0.0994614328728103,0.133388422145445,0.444628475879365,0.523391973263985
"LOC100289561",386.274308835921,0.147795627101753,0.085393174238115,0.0811472939642367,0.120004424434722
"TRPM7",7997.37308132262,-0.0533689723823941,0.077151436807831,0.497830274680413,0.575377296283117
"FBXL20",6400.39846512452,0.0920704203707018,0.0639942747891306,0.148321867720496,0.203869545330067
"CLCN5",2550.53910296813,0.193991093552731,0.111303569129727,0.0721486163664909,0.108319251140346
"BUD31",2862.26292440379,0.0849761482339758,0.0643411181701383,0.184929774798622,0.247089812641027
"AKAP6",2286.21336331059,-0.566574839137631,0.135329155157046,1.68889625994987e-05,5.38091440227377e-05
"MLLT4",26039.8232723006,-0.324853131774294,0.0878166608976733,0.000180524019203484,0.000477146340127672
"S100A14",12494.5634628966,1.12645166047194,0.211282025688853,2.66704992003806e-08,1.40217551770105e-07
"TMEM179B",4760.54489614703,0.14852119824546,0.0750143936703393,0.0462335610127004,0.0729736048392132
"IL23A",131.145435108553,1.3415128408121,0.203384459616915,7.92053559157171e-12,7.435972212848e-11
"PSMA3",6989.58830073589,0.251085767737243,0.101268591888784,0.0145613396615071,0.0259542159288979
"DPM1",3008.34318368235,0.0357107201242167,0.0647880968573814,0.580383166758694,0.651771841897621
"C3orf54",405.097611345407,-1.51527457049213,0.154995222917591,2.27124215266278e-23,9.06749751716908e-22
"HSD17B10",4018.73898716477,0.332482417200853,0.0937861330829986,0.000338624844092276,0.000847546119608231
"LIFR",30541.4111000549,-1.28174274384524,0.187962841932213,1.05362262524092e-12,1.12599659754495e-11
"DICER1",12317.9135370175,-0.382882900037752,0.106903913354086,0.00042644413096101,0.00104765816904743
"IL27",27.4960360645901,-1.37099369072061,0.243570772368778,2.92032625641178e-09,1.79176489105883e-08
"APRT",5371.16189480103,0.689143472998208,0.125505178903302,2.3301372322265e-08,1.23725885932572e-07
"LOC388948",9.37031160856091,-0.948858884219638,0.221014509135844,5.81166213251948e-06,2.0180794857493e-05
"LOC645513",473.223255695865,0.0208257321878505,0.0891189785621966,0.813682524368605,0.854018562392789
"C7orf23",4723.10707182684,0.11352334746298,0.169827884654073,0.482849089468899,0.56065560004245
"VGLL3",10890.199616119,-1.31833409560262,0.192878324574773,9.9910279956006e-13,1.07169262140409e-11
"HSD52",5.79578410012448,-1.66824486983179,0.373475172494374,8.25706845380078e-07,3.33462335541464e-06
"OR8G5",5.43620670174515,-1.09733685033338,0.52394819597939,0.973198137587834,0.979992113488987
"IMP4",2999.35150087852,0.435811657810309,0.0801197086746602,3.29355780477241e-08,1.70150340802446e-07
"UPK3A",146.383380894916,3.8030448466504,0.457590640666968,5.66481675056706e-18,1.19946943094268e-16
"GZMK",1182.1118040798,-0.118555401552559,0.221055850742972,0.559336316345134,0.633088764700658
"PINX1",670.111324720184,-0.0409625761469909,0.0832868632273337,0.620453917637536,0.687841370736191
"ZMYM2",9405.2631305772,0.135115522928331,0.108756645867407,0.190820603925174,0.25404448566745
"C1QB",38435.3557194878,-0.854645716636458,0.183831888627791,1.19899295040667e-06,4.70052611062975e-06
"HDDC3",1100.32639053407,0.350503690109209,0.112534029145166,0.0014996749692704,0.00331168678300264
"HOTAIRM1",375.011272052365,-0.424862587401778,0.216797895961838,0.0346113259551144,0.0563274739361586
"IL26",16.6671374920774,-0.253396980447886,0.319400944428536,0.356010018069042,0.433547847646681
"IL17C",8.85180619662359,1.61106955837843,0.391676384789315,4.88615811536594e-06,1.71941457602785e-05
"C21orf90",55.5496105145706,0.42049920622092,0.258268704345959,0.0731284478603103,0.109676416207805
"PSMB9",5707.30479381188,-0.433216696835389,0.158415160213832,0.00416502532109955,0.00836020205517414
"ARHGAP32",5874.90326740958,0.544311180350711,0.121312823010637,4.25445497101904e-06,1.51743476772505e-05
"SNX18",8319.33406033295,0.117042977498378,0.10553332548383,0.245177361639973,0.315308150260798
"C14orf166",7713.84687531721,0.327496729604517,0.0741768352513013,8.59627008160754e-06,2.88839811955209e-05
"TEX21P",26.7183544010895,-0.774920294741204,0.173320080293237,3.21870639756239e-06,1.17175964376008e-05
"LOC100505536",8.70820902149345,-0.129627754000827,0.220401153557389,0.529242720321893,0.605117884089445
"BPIFA2",12.3419798710615,1.76363974943191,0.44173621429268,6.27503676125201e-06,2.16302825416386e-05
"NCRNA00051",3.30111321983778,0.937757705347438,0.721956128231847,0.0333744905219457,0.0545576694116219
"PLP2",7544.32773386138,0.121463378858029,0.113499059184021,0.287408468173982,0.361286473997614
"SESTD1",9900.91260140088,-0.588531651095842,0.130192404250481,3.46253393812038e-06,1.25263895337792e-05
"SPTB",2273.91958017584,1.27745640882281,0.276821679831111,7.5180075580552e-07,3.05750433961413e-06
"MED13",16250.7425984343,0.27162081079358,0.0928055256406745,0.00308635084808731,0.00635835394566261
"AUTS2",6655.66260923977,0.73827018018624,0.124458400594141,1.60106607776415e-09,1.02847281751901e-08
"LOC100129250",291.403764234899,-0.222816157831346,0.109232661483277,0.037869200884443,0.0610230471381268
"SRCAP",21059.8100912597,0.208939109833956,0.0803644656626204,0.00552876133987169,0.0108110396491817
"ZFP106",24804.4557669588,-0.879961511347412,0.117933298707258,3.05767881642428e-14,4.05042388241125e-13
"PTGER3",384.19176217843,-1.01796250177821,0.22088484105073,1.01675268560621e-06,4.04085825826727e-06
"ASCC3",7523.18283651567,0.524275879747522,0.124128848936419,1.73477546788662e-05,5.51666775263049e-05
"PYY",23.0702401210791,0.565184071458927,0.203759966668825,0.00317380181586799,0.00652192107157197
"C19orf10",7953.08546578605,0.58817187009652,0.100845288515627,3.33075036321426e-09,2.01970395751408e-08
"ABCA1",15694.9137865875,-0.764007198827827,0.158430690102305,6.12449099744634e-07,2.53353407478666e-06
"MXD1",3891.43816657657,-0.286107572762854,0.167267342523997,0.0681069136879489,0.102846317514009
"NGF",103.374236658363,0.154197380444269,0.266615109760008,0.523338430296957,0.599654297630382
"SUGT1P3",78.872314003507,0.0252823559158224,0.100917806893985,0.800437948353231,0.843660930671618
"FABP6",391.616600105473,-0.930340117281408,0.271434187273689,0.000179505391640381,0.000474639925825336
"TREM2",2440.20180398158,0.495792526779544,0.179477366351835,0.0044029869469844,0.00879164040583125
"OR2S2",3.08068049317907,-2.10451088509547,0.540036910860506,8.42248826456735e-06,2.83518351842853e-05
"TRANK1",10650.2885876875,-0.126852166544583,0.127382623567729,0.308085859581472,0.38325646142146
"C11orf53",13.6519389106483,0.52172773282169,0.361714443235424,0.861507775975552,0.893237316541397
"LOC100127983",128.056292341228,-1.15339049942277,0.158557466614082,8.04674681356617e-14,1.01226974675819e-12
"CDC42BPA",15415.9680286031,0.427850415663688,0.164630296250607,0.0079703122934849,0.015037946600711
"LGSN",700.452702322646,4.01114166301786,0.447955546141319,2.04233373060753e-20,5.67062785202016e-19
"LOC283404",7.54248216211125,0.729215495605337,0.390304886204734,0.0229840847970359,0.0390580858346742
"C15orf24",5429.14298749869,0.133409134798565,0.0815166650445512,0.0961244251660572,0.139213973224539
"PRSS57",19.5307239474349,-1.25523706819571,0.366373336647705,0.000103024461583507,0.000283331267243445
"KIAA1671",13075.4516700917,-0.0747661629697159,0.0889401061806497,0.3926935409321,0.471581724236525
"LOC100271874",11.4365012624473,-0.0550652873107884,0.192029386069173,0.763607042589616,0.812413674063412
"GPR21",31.1672532242513,-0.879065527206805,0.238284992896827,7.60719233215698e-05,0.000215172135264379
"FCN2",13.5352954096703,0.411301698163977,0.392115255133503,0.189318929094089,0.252254916976727
"MIR1248",4.39813036467655,-0.339718077763377,0.275477894146766,0.168737845714188,0.22813591176948
"MIR3939",3.30258234765407,0.158176832408529,0.420129949071244,0.615935117116148,0.683730542149169
"SNRPA1",2275.90738218508,0.457353342994746,0.110681112149152,2.45991245965577e-05,7.60750009104544e-05
"LOC644649",14.7878970240913,0.0701046713151318,0.179671319375523,0.683690146868722,0.744249341872099
"CELSR2",2622.41518616926,0.637512290015447,0.131096980082554,6.99260300690591e-07,2.8610729222313e-06
"FAM176B",2071.04041140545,-0.137607220981148,0.119580789498934,0.240134362337771,0.309806847350298
"TMEM170A",1115.03905695256,-0.139140306382711,0.0912054215021823,0.1219461727209,0.171660927883979
"TFF3",3596.50754293488,2.52160862789528,0.387893972909779,6.31534005671915e-12,5.99572223677543e-11
